Year,Count in Smoking HH,Asthma Rate in Smoking HH,Count Asthma in Smoking HH,Asthmatic Child Difference P-Value for Smoking Status,Asthmatic Child Difference Significant for Smoking Status,Autism Rate in Smoking HH,Count Autism in Smoking HH,Autistic Child Difference P-Value for Smoking Status,Autistic Child Difference Significant for Smoking Status,ADHD/ADD Rate in Smoking HH,Count ADHD/ADD in Smoking HH,ADHD/ADD Child Difference P-Value for Smoking Status,ADHD/ADD Child Difference Significant for Smoking Status,Count Concentration/Emotional/Behavior in Smoking HH,Concentration/Emotional/Behavior Rate in Smoking HH,Concentration/Emotional/Behavior Difference P-Value for Smoking Status,Concentration/Emotional/Behavior Difference Significant for Smoking Status,Count in Non-Smoking HH,Asthma Rate in Non-Smoking HH,Count Asthma in Non-Smoking HH,Autism Rate in Non-Smoking HH,Count Autism in Non-Smoking HH,ADHD/ADD Rate in Non-Smoking HH,Count ADHD/ADD in Non-Smoking HH,Count Concentration/Emotional/Behavior in Non-Smoking HH,Concentration/Emotional/Behavior Rate in Non-Smoking HH,Percent in Smoking HH,Percent in Non-Smoking HH,Count in Impoverished HH,Asthma Rate in Impoverished HH,Count Asthma in Impoverished HH,Asthmatic Child Difference P-Value for Poverty Status,Asthmatic Child Difference Significant for Poverty Status,Autism Rate in Impoverished HH,Count Autism in Impoverished HH,Autistic Child Difference P-Value for Poverty Status,Autistic Child Difference Significant for Poverty Status,ADHD/ADD Rate in Impoverished HH,Count ADHD/ADD in Impoverished HH,ADHD/ADD Child Difference P-Value for Poverty Status,ADHD/ADD Child Difference Significant for Poverty Status,Count Concentration/Emotional/Behavior in Impoverished HH,Concentration/Emotional/Behavior Rate in Impoverished HH,Concentration/Emotional/Behavior Difference P-Value for Poverty Status,Concentration/Emotional/Behavior Difference Significant for Poverty Status,Count in Non-Impoverished HH,Asthma Rate in Non-Impoverished HH,Count Asthma in Non-Impoverished HH,Autism Rate in Non-Impoverished HH,Count Autism in Non-Impoverished HH,ADHD/ADD Rate in Non-Impoverished HH,Count ADHD/ADD in Non-Impoverished HH,Count Concentration/Emotional/Behavior in Non-Impoverished HH,Concentration/Emotional/Behavior Rate in Non-Impoverished HH,Percent in Impoverished HH,Percent in Non-Impoverished HH,Count in Smoking Impoverished HH,Asthma Rate in Smoking Impoverished HH,Count Asthma in Smoking Impoverished HH,Asthmatic Child Difference P-Value for Smoking Status in Impoverished HH,Asthmatic Child Difference Significant for Smoking Status in Impoverished HH,Autism Rate in Smoking Impoverished HH,Count Autism in Smoking Impoverished HH,Autistic Child Difference P-Value for Smoking Status in Impoverished HH,Autistic Child Difference Significant for Smoking Status in Impoverished HH,ADHD/ADD Rate in Smoking Impoverished HH,Count ADHD/ADD in Smoking Impoverished HH,ADHD/ADD Child Difference P-Value for Smoking Status in Impoverished HH,ADHD/ADD Child Difference Significant for Smoking Status in Impoverished HH,Count Concentration/Emotional/Behavior in Smoking Impoverished HH,Concentration/Emotional/Behavior Rate in Smoking Impoverished HH,Concentration/Emotional/Behavior Difference P-Value for Smoking Status in Impoverished HH,Concentration/Emotional/Behavior Difference Significant for Smoking Status in Impoverished HH,Count in Non-Smoking Impoverished HH,Asthma Rate in Non-Smoking Impoverished HH,Count Asthma in Non-Smoking Impoverished HH,Autism Rate in Non-Smoking Impoverished HH,Count Autism in Non-Smoking Impoverished HH,ADHD/ADD Rate in Non-Smoking Impoverished HH,Count ADHD/ADD in Non-Smoking Impoverished HH,Count Concentration/Emotional/Behavior in Non-Smoking Impoverished HH,Concentration/Emotional/Behavior Rate in Non-Smoking Impoverished HH,Percent in Smoking Impoverished HH,Percent in Non-Smoking Impoverished HH,Count in Smoking Non-Impoverished HH,Asthma Rate in Smoking Non-Impoverished HH,Count Asthma in Smoking Non-Impoverished HH,Asthmatic Child Difference P-Value for Smoking Status in Non-Impoverished HH,Asthmatic Child Difference Significant for Smoking Status in Non-Impoverished HH,Autism Rate in Smoking Non-Impoverished HH,Count Autism in Smoking Non-Impoverished HH,Autistic Child Difference P-Value for Smoking Status in Non-Impoverished HH,Autistic Child Difference Significant for Smoking Status in Non-Impoverished HH,ADHD/ADD Rate in Smoking Non-Impoverished HH,Count ADHD/ADD in Smoking Non-Impoverished HH,ADHD/ADD Child Difference P-Value for Smoking Status in Non-Impoverished HH,ADHD/ADD Child Difference Significant for Smoking Status in Non-Impoverished HH,Count Concentration/Emotional/Behavior in Smoking Non-Impoverished HH,Concentration/Emotional/Behavior Rate in Smoking Non-Impoverished HH,Concentration/Emotional/Behavior Difference P-Value for Smoking Status in Non-Impoverished HH,Concentration/Emotional/Behavior Difference Significant for Smoking Status in Non-Impoverished HH,Count in Non-Smoking Non-Impoverished HH,Asthma Rate in Non-Smoking Non-Impoverished HH,Count Asthma in Non-Smoking Non-Impoverished HH,Autism Rate in Non-Smoking Non-Impoverished HH,Count Autism in Non-Smoking Non-Impoverished HH,ADHD/ADD Rate in Non-Smoking Non-Impoverished HH,Count ADHD/ADD in Non-Smoking Non-Impoverished HH,Count Concentration/Emotional/Behavior in Non-Smoking Non-Impoverished HH,Concentration/Emotional/Behavior Rate in Non-Smoking Non-Impoverished HH,Percent in Smoking Non-Impoverished HH,Percent in Non-Smoking Non-Impoverished HH
2006,1727,17.0816444701795,295,9.111896456340012e-06,Yes,0.4053271569195136,7,0.11522075743143806,No,7.932831499710481,137,0.00026247050156922485,Yes,359,20.787492762015056,5.179235424003822e-11,Yes,6618,12.66243578120278,838,0.695074040495618,46,5.349048050770626,354,911,13.76548806285887,20.695026962252847,79.30497303774716,1237,18.997574777687955,235,8.683438893707729e-08,Yes,0.4850444624090542,6,0.42282939196038183,No,7.437348423605497,92,0.02185234526487014,Yes,234,18.916734033953112,0.0002723852798663354,Yes,7108,12.633652222847497,898,0.6612267867191897,47,5.613393359594823,399,1036,14.575126617895329,14.82324745356501,85.176752546435,360,27.77777777777778,100,9.111896456340012e-06,Yes,0.5555555555555556,2,0.11522075743143806,No,11.38888888888889,41,0.00026247050156922485,Yes,90,25.0,5.179235424003822e-11,Yes,877,15.393386545039908,135,0.45610034207525657,4,5.815279361459521,51,144,16.419612314709237,29.10266774454325,70.89733225545675,1367,14.264813460131675,195,9.111896456340012e-06,Yes,0.36576444769568395,5,0.11522075743143806,No,7.022677395757132,96,0.00026247050156922485,Yes,269,19.6781272860278,5.179235424003822e-11,Yes,5741,12.245253440167218,703,0.7315798641351681,42,5.277826162689427,303,767,13.360041804563666,19.231851435002813,80.76814856499719
2007,1415,17.6678445229682,250,4.322427310605778e-06,Yes,0.6360424028268552,9,0.9375577929835445,No,9.681978798586572,137,3.039135028916004e-08,Yes,295,20.848056537102476,1.75188309939838e-11,Yes,6265,12.609736632083003,790,0.6544293695131683,41,5.0438946528332,316,814,12.992817238627294,18.424479166666668,81.57552083333333,1313,17.06016755521706,224,0.00015573072051798623,Yes,0.5331302361005331,7,0.5287205746051626,No,6.626047220106626,87,0.239624010712226,No,226,17.212490479817212,0.003086254536271021,Yes,6367,12.816082927595415,816,0.6753573111355426,43,5.748390136642061,366,883,13.86838385424847,17.096354166666668,82.90364583333333,347,21.037463976945244,73,4.322427310605778e-06,Yes,1.1527377521613833,4,0.9375577929835445,No,8.357348703170029,29,3.039135028916004e-08,Yes,69,19.88472622478386,1.75188309939838e-11,Yes,966,15.631469979296067,151,0.3105590062111801,3,6.004140786749482,58,157,16.252587991718425,26.42802741812643,73.57197258187357,1068,16.573033707865168,177,4.322427310605778e-06,Yes,0.46816479400749067,5,0.9375577929835445,No,10.112359550561797,108,3.039135028916004e-08,Yes,226,21.161048689138575,1.75188309939838e-11,Yes,5299,12.058879033779958,639,0.7171164370635968,38,4.868843177958105,258,657,12.398565767125874,16.77399089052929,83.22600910947071
2008,1450,17.517241379310345,254,0.0001625166722903868,Yes,0.8965517241379309,13,0.5834425922473463,No,9.241379310344827,134,0.0002546320518398268,Yes,336,23.17241379310345,2.776130386255928e-16,Yes,5492,13.36489439184268,734,0.7465404224326293,41,6.209031318281136,341,729,13.27385287691187,20.887352348026507,79.11264765197349,1165,18.19742489270386,212,9.376583405305742e-05,Yes,0.7725321888412017,9,0.981810156621703,No,7.210300429184549,84,0.5930523903373178,No,224,19.2274678111588,0.00018232852424940796,Yes,5777,13.4325774623507,776,0.7789510126363164,45,6.768218798684439,391,841,14.557728925047602,16.781907231345432,83.21809276865457,372,22.043010752688172,82,0.0001625166722903868,Yes,1.6129032258064515,6,0.5834425922473463,No,8.064516129032258,30,0.0002546320518398268,Yes,90,24.193548387096776,2.776130386255928e-16,Yes,793,16.39344262295082,130,0.37831021437578816,3,6.809583858764187,54,134,16.897856242118536,31.931330472103003,68.068669527897,1078,15.955473098330241,172,0.0001625166722903868,Yes,0.6493506493506493,7,0.5834425922473463,No,9.647495361781075,104,0.0002546320518398268,Yes,246,22.820037105751393,2.776130386255928e-16,Yes,4699,12.853798680570334,604,0.8086826984464779,38,6.107682485635242,287,595,12.66226856778038,18.660204258265537,81.33979574173446
2009,1846,18.0931744312026,334,2.029531665933941e-06,Yes,1.4626218851570965,27,0.05721732388786724,No,11.43011917659805,211,2.367768311237145e-13,Yes,399,21.614301191765982,2.8061257817428174e-18,Yes,7294,13.421990677268989,979,0.891143405538799,65,5.621058404167809,410,914,12.530847271730188,20.196936542669583,79.80306345733041,1861,17.40999462654487,324,7.853744380715151e-05,Yes,0.967221923696937,18,0.846748728692971,No,8.060182697474476,150,0.022068048812868515,Yes,352,18.91456206340677,9.164204697018074e-09,Yes,7279,13.587031185602418,989,1.0166231625223243,74,6.470669047946147,471,961,13.20236296194532,20.36105032822757,79.63894967177242,553,20.07233273056058,111,2.029531665933941e-06,Yes,1.62748643761302,9,0.05721732388786724,No,12.839059674502712,71,2.367768311237145e-13,Yes,141,25.49728752260398,2.8061257817428174e-18,Yes,1308,16.28440366972477,213,0.6880733944954129,9,6.039755351681957,79,211,16.131498470948014,29.715206878022567,70.28479312197743,1293,17.246713070378963,223,2.029531665933941e-06,Yes,1.3921113689095126,18,0.05721732388786724,No,10.827532869296212,140,2.367768311237145e-13,Yes,258,19.953596287703014,2.8061257817428174e-18,Yes,5986,12.796525225526228,766,0.9355162044771134,56,5.529568994320081,331,703,11.744069495489477,17.763429042450888,82.23657095754912
2010,1700,15.88235294117647,270,0.011216239793496927,Yes,1.2352941176470587,21,0.16615625551043883,No,9.588235294117647,163,3.053434016211346e-06,Yes,391,23.0,3.540864219209433e-12,Yes,7298,13.414634146341465,979,0.8358454371060564,61,6.001644286105782,438,1115,15.278158399561523,18.893087352745056,81.10691264725494,1964,15.427698574338086,303,0.02995569058072102,Yes,0.8655804480651732,17,0.8059914441409739,No,7.739307535641547,152,0.043025542232048616,Yes,397,20.21384928716904,1.0016384971764236e-05,Yes,7034,13.448962183679273,946,0.9240830253056583,65,6.383281205572931,449,1109,15.766278077907309,21.827072682818404,78.17292731718159,502,18.127490039840637,91,0.011216239793496927,Yes,1.394422310756972,7,0.16615625551043883,No,11.553784860557768,58,3.053434016211346e-06,Yes,136,27.091633466135455,3.540864219209433e-12,Yes,1462,14.500683994528044,212,0.6839945280437756,10,6.429548563611491,94,261,17.852257181942544,25.56008146639511,74.43991853360488,1198,14.941569282136896,179,0.011216239793496927,Yes,1.1686143572621035,14,0.16615625551043883,No,8.764607679465776,105,3.053434016211346e-06,Yes,255,21.285475792988315,3.540864219209433e-12,Yes,5836,13.142563399588758,767,0.8738862234407128,51,5.894448252227553,344,854,14.633310486634683,17.03156098947967,82.96843901052033
2011,2023,17.498764211566982,354,7.143332584051046e-05,Yes,1.0874938210578349,22,0.857974471007781,No,10.430054374691053,211,5.996108578445448e-09,Yes,452,22.343054869006426,7.6857947244998e-19,Yes,8557,13.824938646721982,1183,1.1335748509991819,97,6.182073156480074,529,1150,13.439289470608859,19.120982986767487,80.87901701323251,2294,17.785527462946817,408,2.5617377503317996e-06,Yes,0.8718395815170008,20,0.1565439118885626,No,8.326068003487357,191,0.007767328368201862,Yes,406,17.698343504795115,0.00023132872893850064,Yes,8286,13.62539222785421,1129,1.1947863866763215,99,6.62563359884142,549,1196,14.433985034998791,21.68241965973535,78.31758034026466,630,21.58730158730159,136,7.143332584051046e-05,Yes,0.7936507936507936,5,0.857974471007781,No,10.952380952380953,69,5.996108578445448e-09,Yes,165,26.190476190476193,7.6857947244998e-19,Yes,1664,16.346153846153847,272,0.9014423076923076,15,7.331730769230769,122,241,14.483173076923078,27.46294681778553,72.53705318221448,1393,15.649676956209618,218,7.143332584051046e-05,Yes,1.2203876525484567,17,0.857974471007781,No,10.193826274228284,142,5.996108578445448e-09,Yes,287,20.603015075376884,7.6857947244998e-19,Yes,6893,13.216306397794863,911,1.1896126505150153,82,5.904540838531844,407,909,13.187291455099375,16.81148925899107,83.18851074100893
2012,2048,16.943359375,347,0.0009453076810694665,Yes,1.220703125,25,0.7785061513075935,No,10.15625,208,1.9202271744459546e-05,Yes,415,20.263671875,1.9545189259304395e-12,Yes,8471,13.929878408688467,1180,1.145083225121001,97,7.0593790579624605,598,1140,13.457679140597332,19.469531324270367,80.53046867572964,2376,17.887205387205388,425,6.410854837413363e-07,Yes,0.8417508417508417,20,0.06712312403418015,No,9.132996632996633,217,0.0038636410435966455,Yes,408,17.17171717171717,0.0003624727251123979,Yes,8143,13.533095910598059,1102,1.2526096033402923,102,7.233206434974824,589,1147,14.08571779442466,22.587698450423044,77.41230154957695,642,19.781931464174455,127,0.0009453076810694665,Yes,0.778816199376947,5,0.7785061513075935,No,12.77258566978193,82,1.9202271744459546e-05,Yes,161,25.077881619937692,1.9545189259304395e-12,Yes,1734,17.185697808535178,298,0.8650519031141869,15,7.7854671280276815,135,247,14.244521337946944,27.02020202020202,72.97979797979798,1406,15.647226173541965,220,0.0009453076810694665,Yes,1.422475106685633,20,0.7785061513075935,No,8.961593172119487,126,1.9202271744459546e-05,Yes,254,18.06543385490754,1.9545189259304395e-12,Yes,6737,13.091880659047053,882,1.2171589728365741,82,6.872495175894315,463,893,13.255158082232448,17.26636374800442,82.73363625199558
2013,1922,17.013527575442247,327,1.6365124968436217e-05,Yes,1.45681581685744,28,0.4211759856078986,No,9.781477627471384,188,4.694239924219918e-05,Yes,394,20.499479708636837,1.2502725706509188e-12,Yes,8626,12.995594713656388,1121,1.217250173892882,105,6.80500811500116,587,1158,13.424530489218641,18.221463784603717,81.77853621539629,2264,16.342756183745582,370,0.00011154025150853234,Yes,1.8992932862190812,43,0.00850651185525879,Yes,8.524734982332156,193,0.02129497316859301,Yes,406,17.93286219081272,4.395582209188986e-06,Yes,8284,13.01303718010623,1078,1.0864316755190728,90,7.0255915016900055,582,1146,13.833896668276195,21.463784603716345,78.53621539628365,643,20.21772939346812,130,1.6365124968436217e-05,Yes,2.332814930015552,15,0.4211759856078986,No,10.419906687402799,67,4.694239924219918e-05,Yes,144,22.3950233281493,1.2502725706509188e-12,Yes,1621,14.805675508945097,240,1.727328809376928,28,7.772979642196175,126,262,16.162862430598395,28.401060070671377,71.59893992932862,1279,15.402658326817825,197,1.6365124968436217e-05,Yes,1.016419077404222,13,0.4211759856078986,No,9.460516028146989,121,4.694239924219918e-05,Yes,250,19.546520719311964,1.2502725706509188e-12,Yes,7005,12.57673090649536,881,1.099214846538187,77,6.581013561741614,461,896,12.790863668807994,15.43940125543216,84.56059874456784
2014,1929,17.05546915500259,329,1.1351883718805848e-05,Yes,2.177293934681182,42,0.27968624390497193,No,11.19751166407465,216,4.480114776021456e-09,Yes,428,22.187662001036806,2.440641381029926e-13,Yes,9007,12.97879427112246,1169,1.7874986121905185,161,6.694792938825358,603,1324,14.699678028200289,17.63899049012436,82.36100950987564,2341,16.87313114053823,395,2.3363277600661913e-06,Yes,2.050405809483127,48,0.4489766527558343,No,9.013242204186245,211,0.003017857178537141,Yes,465,19.863306279367794,8.301305878548566e-08,Yes,8595,12.83304246655032,1103,1.8033740546829553,155,7.0738801628853984,608,1287,14.973821989528796,21.406364301389903,78.5936356986101,623,21.02728731942215,131,1.1351883718805848e-05,Yes,2.7287319422150884,17,0.27968624390497193,No,13.48314606741573,84,4.480114776021456e-09,Yes,165,26.484751203852326,2.440641381029926e-13,Yes,1718,15.366705471478465,264,1.8044237485448196,31,7.39231664726426,127,300,17.462165308498253,26.612558735583082,73.38744126441692,1306,15.160796324655438,198,1.1351883718805848e-05,Yes,1.914241960183767,25,0.27968624390497193,No,10.10719754977029,132,4.480114776021456e-09,Yes,263,20.137825421133233,2.440641381029926e-13,Yes,7289,12.415969268761147,905,1.7835093977225955,130,6.530388256276582,476,1024,14.048566332830292,15.194880744618965,84.80511925538103
2015,1650,16.848484848484848,278,0.0011786972257918362,Yes,3.212121212121212,53,0.005252882091283185,Yes,13.090909090909092,216,1.1958228142591282e-11,Yes,418,25.333333333333336,1.954512209392567e-17,Yes,8300,13.614457831325302,1130,1.9277108433734942,160,7.1084337349397595,590,1290,15.542168674698795,16.582914572864322,83.41708542713567,1931,16.31279129984464,315,0.0037292566548028675,Yes,2.4857586742620406,48,0.27021398140508734,No,9.425168306576904,182,0.024283259849034535,Yes,395,20.45572242361471,5.171048022622005e-05,Yes,8019,13.63012844494326,1093,2.05761316872428,165,7.781518892630005,624,1313,16.373612669908965,19.407035175879397,80.5929648241206,502,21.713147410358566,109,0.0011786972257918362,Yes,3.9840637450199203,20,0.005252882091283185,Yes,14.342629482071715,72,1.1958228142591282e-11,Yes,143,28.48605577689243,1.954512209392567e-17,Yes,1429,14.415675297410777,206,1.959412176347096,28,7.697690692792163,110,252,17.63470958712386,25.99689280165717,74.00310719834283,1148,14.721254355400697,169,0.0011786972257918362,Yes,2.8745644599303137,33,0.005252882091283185,Yes,12.543554006968641,144,1.1958228142591282e-11,Yes,275,23.954703832752614,1.954512209392567e-17,Yes,6871,13.447824188618831,924,1.9211177412312617,132,6.985882695386407,480,1038,15.106971328773106,14.315999501184686,85.68400049881531
